date,dewPoint,day-of-week,30min_index,Total_Area
2015/3/9 0:00,13.47,0,0,255.2954733
2015/3/9 0:15,13.47,0,0,271.2003089
2015/3/9 0:30,13.47,0,1,257.8190444
2015/3/9 0:45,13.47,0,1,232.3098911
2015/3/9 1:00,13.29,0,2,241.6701044
2015/3/9 1:15,13.29,0,2,242.5096911
2015/3/9 1:30,13.29,0,3,224.3914233
2015/3/9 1:45,13.29,0,3,229.2259656
2015/3/9 2:00,12.59,0,4,244.7118589
2015/3/9 2:15,12.59,0,4,224.3945622
2015/3/9 2:30,12.59,0,5,233.8221111
2015/3/9 2:45,12.59,0,5,229.3378078
2015/3/9 3:00,12.54,0,6,235.6062744
2015/3/9 3:15,12.54,0,6,241.1118233
2015/3/9 3:30,12.54,0,7,226.6607089
2015/3/9 3:45,12.54,0,7,221.5890344
2015/3/9 4:00,12.25,0,8,242.5618578
2015/3/9 4:15,12.25,0,8,230.8890167
2015/3/9 4:30,12.25,0,9,241.3772456
2015/3/9 4:45,12.25,0,9,233.0781256
2015/3/9 5:00,12.18,0,10,233.8957856
2015/3/9 5:15,12.18,0,10,231.6307956
2015/3/9 5:30,12.18,0,11,234.0651078
2015/3/9 5:45,12.18,0,11,226.4340122
2015/3/9 6:00,12.25,0,12,219.8731967
2015/3/9 6:15,12.25,0,12,242.8998522
2015/3/9 6:30,12.25,0,13,246.5402322
2015/3/9 6:45,12.25,0,13,262.6936622
2015/3/9 7:00,12.95,0,14,248.5250189
2015/3/9 7:15,12.95,0,14,269.1029922
2015/3/9 7:30,12.95,0,15,249.8945478
2015/3/9 7:45,12.95,0,15,278.4447989
2015/3/9 8:00,16.62,0,16,270.0680422
2015/3/9 8:15,16.62,0,16,279.5786044
2015/3/9 8:30,16.62,0,17,283.0777356
2015/3/9 8:45,16.62,0,17,304.5856122
2015/3/9 9:00,19.27,0,18,306.8334067
2015/3/9 9:15,19.27,0,18,305.8477156
2015/3/9 9:30,19.27,0,19,314.2588433
2015/3/9 9:45,19.27,0,19,281.01116
2015/3/9 10:00,21.96,0,20,284.0750811
2015/3/9 10:15,21.96,0,20,220.9678567
2015/3/9 10:30,21.96,0,21,243.6196678
2015/3/9 10:45,21.96,0,21,250.4361078
2015/3/9 11:00,22.05,0,22,239.9188878
2015/3/9 11:15,22.05,0,22,245.0224144
2015/3/9 11:30,22.05,0,23,263.0702122
2015/3/9 11:45,22.05,0,23,251.4216056
2015/3/9 12:00,21.98,0,24,237.7136144
2015/3/9 12:15,21.98,0,24,228.6790111
2015/3/9 12:30,21.98,0,25,255.7869844
2015/3/9 12:45,21.98,0,25,207.6105244
2015/3/9 13:00,20.46,0,26,223.7616422
2015/3/9 13:15,20.46,0,26,235.3524478
2015/3/9 13:30,20.46,0,27,215.8792722
2015/3/9 13:45,20.46,0,27,213.5633333
2015/3/9 14:00,19.49,0,28,194.3971022
2015/3/9 14:15,19.49,0,28,200.8335222
2015/3/9 14:30,19.49,0,29,201.6361533
2015/3/9 14:45,19.49,0,29,191.1657078
2015/3/9 15:00,18.68,0,30,194.9808267
2015/3/9 15:15,18.68,0,30,194.88618
2015/3/9 15:30,18.68,0,31,187.1563367
2015/3/9 15:45,18.68,0,31,193.2458756
2015/3/9 16:00,18.19,0,32,167.4883256
2015/3/9 16:15,18.19,0,32,172.3121422
2015/3/9 16:30,18.19,0,33,167.6936878
2015/3/9 16:45,18.19,0,33,183.4266233
2015/3/9 17:00,18.05,0,34,162.0052111
2015/3/9 17:15,18.05,0,34,168.2457533
2015/3/9 17:30,18.05,0,35,178.0716344
2015/3/9 17:45,18.05,0,35,182.56094
2015/3/9 18:00,18.1,0,36,186.9992767
2015/3/9 18:15,18.1,0,36,182.77074
2015/3/9 18:30,18.1,0,37,205.6852267
2015/3/9 18:45,18.1,0,37,231.8512278
2015/3/9 19:00,19.51,0,38,211.6234378
2015/3/9 19:15,19.51,0,38,224.9464567
